goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 435010452 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1432656 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 443222280 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1406112 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 444031773 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1403549 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     327	   3782954 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     309	   3934777 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     328	   3859700 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     319	   3654900 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     320	   3734202 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     327	   3587023 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     315	   3677077 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     310	   3731521 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     289	   3585005 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     326	   3688133 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 133057615 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 134225286 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 133289144 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 153800540 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       7	 155889844 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       7	 150699929 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       7	 148998196 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       7	 144620788 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 149513622 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 134558358 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{status=error}_|_rate()/5                                                             	      31	  33172612 ns/op	         3.905 MB_IO/op	      1754 spans/op	     52875 spans/s
