goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 432942167 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1439500 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 429475126 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1451121 spans/s
BenchmarkBackendBlockQueryRange/{}_|_rate()_by_(span.http.url)/5               	       3	 442241269 ns/op	         3.904 MB_IO/op	    623220 spans/op	   1409231 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     325	   3688304 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     316	   3731118 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     327	   3718411 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     327	   3686932 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     319	   3865228 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     318	   3727428 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     326	   3688300 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     328	   3683220 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     308	   3817811 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{resource.service.name=`loki-ingester`}_|_rate()/5       	     314	   3722757 ns/op	         0.2895 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 136583615 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 132930296 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 136761532 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 135680337 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 135257325 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
BenchmarkBackendBlockQueryRange/{span.http.host_!=_``_&&_span.http.flavor=`2`}_|_rate()_by_(span.http.flavor)/5       	       8	 134275759 ns/op	        15.71 MB_IO/op	         0 spans/op	         0 spans/s
