goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet3
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     646	   5253831 ns/op	 984.47 MB/s	         5.172 MB_io/op	 3692709 B/op	   25910 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     681	   5272451 ns/op	 981.00 MB/s	         5.172 MB_io/op	 3675166 B/op	   25910 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     670	   5197920 ns/op	 995.06 MB/s	         5.172 MB_io/op	 3653502 B/op	   25910 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     672	   5228116 ns/op	 989.31 MB/s	         5.172 MB_io/op	 3670098 B/op	   25910 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     687	   5191682 ns/op	 996.26 MB/s	         5.172 MB_io/op	 3692508 B/op	   25910 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     691	   5267312 ns/op	 981.95 MB/s	         5.172 MB_io/op	 3673139 B/op	   25910 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexNoMatch-16         	     654	   5262084 ns/op	 982.93 MB/s	         5.172 MB_io/op	 3702772 B/op	   25910 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     688	   5237726 ns/op	 987.50 MB/s	         5.172 MB_io/op	 3696767 B/op	   25917 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     684	   5179909 ns/op	 998.52 MB/s	         5.172 MB_io/op	 3681696 B/op	   25917 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     664	   5183132 ns/op	 997.90 MB/s	         5.172 MB_io/op	 3671850 B/op	   25917 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     682	   5148868 ns/op	1004.54 MB/s	         5.172 MB_io/op	 3683768 B/op	   25917 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     679	   5182058 ns/op	 998.11 MB/s	         5.172 MB_io/op	 3665913 B/op	   25917 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     675	   5233799 ns/op	 988.24 MB/s	         5.172 MB_io/op	 3655677 B/op	   25917 allocs/op
BenchmarkBackendBlockTraceQL/spanAttIntrinsicRegexMatch-16           	     676	   5266189 ns/op	 982.16 MB/s	         5.172 MB_io/op	 3671901 B/op	   25917 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     777	   4650917 ns/op	1654.18 MB/s	         7.693 MB_io/op	 2162115 B/op	   20473 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     772	   4624728 ns/op	1663.54 MB/s	         7.693 MB_io/op	 2192068 B/op	   20473 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     774	   4653376 ns/op	1653.30 MB/s	         7.693 MB_io/op	 2203480 B/op	   20474 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     775	   4650080 ns/op	1654.47 MB/s	         7.693 MB_io/op	 2140613 B/op	   20473 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     780	   4625230 ns/op	1663.36 MB/s	         7.693 MB_io/op	 2174938 B/op	   20473 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     776	   4659511 ns/op	1651.13 MB/s	         7.693 MB_io/op	 2175747 B/op	   20473 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttNameNoMatch-16               	     774	   4730743 ns/op	1626.26 MB/s	         7.693 MB_io/op	 2200432 B/op	   20474 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     774	   4636293 ns/op	1659.39 MB/s	         7.693 MB_io/op	 2177318 B/op	   20462 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     771	   4674465 ns/op	1645.84 MB/s	         7.693 MB_io/op	 2188893 B/op	   20462 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     777	   4627055 ns/op	1662.71 MB/s	         7.693 MB_io/op	 2142297 B/op	   20462 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     772	   4633833 ns/op	1660.28 MB/s	         7.693 MB_io/op	 2187221 B/op	   20462 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     780	   4649985 ns/op	1654.51 MB/s	         7.693 MB_io/op	 2198450 B/op	   20463 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     774	   4625876 ns/op	1663.13 MB/s	         7.693 MB_io/op	 2146146 B/op	   20462 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValNoMatch-16                	     775	   4641363 ns/op	1657.58 MB/s	         7.693 MB_io/op	 2195104 B/op	   20462 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     775	   4721475 ns/op	1629.46 MB/s	         7.693 MB_io/op	 2140049 B/op	   20453 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     777	   4656340 ns/op	1652.25 MB/s	         7.693 MB_io/op	 2159843 B/op	   20453 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     775	   4641389 ns/op	1657.57 MB/s	         7.693 MB_io/op	 2185619 B/op	   20453 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     771	   4641360 ns/op	1657.58 MB/s	         7.693 MB_io/op	 2197074 B/op	   20454 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     770	   4641111 ns/op	1657.67 MB/s	         7.693 MB_io/op	 2167142 B/op	   20453 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     776	   4643264 ns/op	1656.90 MB/s	         7.693 MB_io/op	 2184730 B/op	   20453 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttValMatch-16                  	     774	   4669657 ns/op	1647.54 MB/s	         7.693 MB_io/op	 2177007 B/op	   20453 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     960	   4013117 ns/op	1007.19 MB/s	         4.042 MB_io/op	 2367250 B/op	   20490 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     938	   4038676 ns/op	1000.82 MB/s	         4.042 MB_io/op	 2377135 B/op	   20490 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     940	   3735320 ns/op	1082.10 MB/s	         4.042 MB_io/op	 2329542 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     930	   3841033 ns/op	1052.32 MB/s	         4.042 MB_io/op	 2334962 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     895	   3838559 ns/op	1053.00 MB/s	         4.042 MB_io/op	 2343804 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     972	   3783032 ns/op	1068.45 MB/s	         4.042 MB_io/op	 2341291 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicNoMatch-16          	     939	   3932588 ns/op	1027.82 MB/s	         4.042 MB_io/op	 2356075 B/op	   20490 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     938	   3850386 ns/op	1049.76 MB/s	         4.042 MB_io/op	 2326984 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     894	   3746647 ns/op	1078.83 MB/s	         4.042 MB_io/op	 2334440 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     969	   3841610 ns/op	1052.16 MB/s	         4.042 MB_io/op	 2355428 B/op	   20490 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     968	   3882170 ns/op	1041.17 MB/s	         4.042 MB_io/op	 2304550 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     924	   3793017 ns/op	1065.64 MB/s	         4.042 MB_io/op	 2326359 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     962	   3757234 ns/op	1075.79 MB/s	         4.042 MB_io/op	 2348496 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/resourceAttIntrinsicMatch-16            	     958	   3743928 ns/op	1079.61 MB/s	         4.042 MB_io/op	 2343782 B/op	   20489 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	       6	 585410479 ns/op	  38.79 MB/s	        22.71 MB_io/op	24917977 B/op	   23000 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	       6	 589234513 ns/op	  38.54 MB/s	        22.71 MB_io/op	25318992 B/op	   23178 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	       6	 586790553 ns/op	  38.70 MB/s	        22.71 MB_io/op	26203880 B/op	   23009 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	       6	 588148617 ns/op	  38.61 MB/s	        22.71 MB_io/op	25556482 B/op	   23001 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	       6	 585714566 ns/op	  38.77 MB/s	        22.71 MB_io/op	24744520 B/op	   22826 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	       6	 584322014 ns/op	  38.86 MB/s	        22.71 MB_io/op	22784678 B/op	   22990 allocs/op
BenchmarkBackendBlockTraceQL/mixedNameNoMatch-16                     	       6	 586564076 ns/op	  38.71 MB/s	        22.71 MB_io/op	25745693 B/op	   22836 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	       6	 585666912 ns/op	  38.77 MB/s	        22.71 MB_io/op	24659893 B/op	   23003 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	       6	 592132184 ns/op	  38.35 MB/s	        22.71 MB_io/op	23688124 B/op	   22829 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	       6	 594005561 ns/op	  38.23 MB/s	        22.71 MB_io/op	24975657 B/op	   23013 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	       6	 582426194 ns/op	  38.99 MB/s	        22.71 MB_io/op	24181776 B/op	   23003 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	       6	 594275962 ns/op	  38.21 MB/s	        22.71 MB_io/op	25553902 B/op	   23008 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	       6	 584341710 ns/op	  38.86 MB/s	        22.71 MB_io/op	24076053 B/op	   22821 allocs/op
BenchmarkBackendBlockTraceQL/mixedValNoMatch-16                      	       6	 582928533 ns/op	  38.95 MB/s	        22.71 MB_io/op	24378732 B/op	   23005 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     777	   4644839 ns/op	1656.34 MB/s	         7.693 MB_io/op	 2166896 B/op	   20520 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     777	   4639132 ns/op	1658.38 MB/s	         7.693 MB_io/op	 2235629 B/op	   20521 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     775	   4634823 ns/op	1659.92 MB/s	         7.693 MB_io/op	 2199932 B/op	   20520 allocs/op
BenchmarkBackendBlockTraceQL/mixedValMixedMatchAnd-16                	     772	   4664992 ns/op	1649.19 MB/s	         7.693 MB_io/op	 2188916 B/op	   20520 allocs/op
